Date,Last Px,P/C
3/3/16,9.25,1.3955
3/2/16,9.3,0.9663
3/1/16,9.15,1.4406
2/29/16,9,0.6238
2/26/16,8.78,0.6396
2/25/16,8.8,1.4915
2/24/16,8.59,1.2185
2/23/16,8.48,1.0112
2/22/16,8.91,0.8652
2/19/16,8.55,1.2829
2/18/16,8.66,0.5076
2/17/16,8.78,0.5656
2/16/16,8.31,0.9103
2/12/16,8.33,0.6879
2/11/16,7.9923,0.5984
2/10/16,7.96,0.5173
2/9/16,8.18,0.9246
2/8/16,8.64,1.0573
2/5/16,8.91,0.8263
2/4/16,9.12,0.4653
2/3/16,9.34,0.868
2/2/16,8.57,0.7295
2/1/16,9.02,1.4558
1/29/16,9.65,0.7827
1/28/16,9.7,1.3309
1/27/16,9.18,0.7514
1/26/16,8.97,0.7248
1/25/16,8.54,0.9757
1/22/16,9.27,2.5258
1/21/16,8.56,0.6955
1/20/16,8.24,0.9562
1/19/16,8.49,1.0066
1/15/16,8.79,1.0918
1/14/16,9.23,0.6699
1/13/16,9.09,0.7647
1/12/16,9.17,0.8514
1/11/16,9.25,0.8889
1/8/16,9.8,1.0169
1/7/16,9.9,0.8929
1/6/16,10.11,0.8149
1/5/16,10.66,0.9086
1/4/16,10.98,0.4659
12/31/15,11,0.3546
12/30/15,10.93,0.5265
12/29/15,11.26,0.5149
12/28/15,10.93,0.6379
12/24/15,11.3,0.4259
12/23/15,11.26,0.4742
12/22/15,10.77,0.2665
12/21/15,10.66,1.6636
12/18/15,10.66,0.6458
12/17/15,10.74,0.2408
12/16/15,10.99,0.805
12/15/15,11.4,0.77
12/14/15,11.16,0.3413
12/11/15,11.07,1.6099
12/10/15,11.37,0.9099
12/9/15,11.56,0.8164
12/8/15,11.68,1.5985
12/7/15,11.72,1.3492
12/4/15,12.46,1.0865
12/3/15,12.77,0.5094
12/2/15,12.48,0.8599
12/1/15,12.95,0.8986
11/30/15,12.93,0.9679
11/27/15,13.03,1.2192
11/25/15,13.39,0.744
11/24/15,13.32,1.0168
11/23/15,13.02,0.592
11/20/15,12.93,0.5589
11/19/15,12.96,0.4112
11/18/15,13.05,0.6655
11/17/15,13.01,1.5412
11/16/15,13.39,0.5959
11/13/15,13.06,0.8681
11/12/15,13.35,0.5967
11/11/15,13.76,0.5146
11/10/15,14.09,0.5863
11/9/15,14.08,0.9822
11/6/15,14.23,1.0877
11/5/15,14.48,0.6875
11/4/15,14.85,1.0205
11/3/15,15.28,1.6512
11/2/15,14.75,1.4194
10/30/15,14.81,0.8468
10/29/15,14.63,0.6901
10/28/15,14.69,0.6607
10/27/15,13.82,1.7143
10/26/15,14.01,0.7002
10/23/15,14.27,0.8225
10/22/15,14.51,1.0775
10/21/15,14.43,0.2729
10/20/15,14.73,0.7488
10/19/15,14.83,0.5717
10/16/15,15.22,0.6275
10/15/15,15.13,0.7611
10/14/15,15.05,1.5929
10/13/15,15.06,1.0956
10/12/15,15.31,3.2485
10/9/15,15.99,0.5064
